experiment,source,condition,n,pen_099_count,pen_099_share_pct,pen_199_count,pen_199_share_pct,pen_299_count,pen_299_share_pct,pen_399_count,pen_399_share_pct,mean_price_usd,mean_steps,budget_rate_pct
budget-backfire,Claude Opus 4.8,no_restraint,50,0,0.0,49,98.0,1,2.0,0,0.0,2.01,1.0,0.0
budget-backfire,Claude Opus 4.8,salient_restraint,49,0,0.0,49,100.0,0,0.0,0,0.0,1.99,2.0,100.0
budget-backfire,Claude Opus 4.8,many_steps,50,0,0.0,50,100.0,0,0.0,0,0.0,1.99,4.0,100.0
budget-backfire,Claude Opus 4.8,free_agent,50,0,0.0,50,100.0,0,0.0,0,0.0,1.99,4.0,100.0
budget-backfire,Claude Sonnet 4.6,no_restraint,50,0,0.0,48,96.0,2,4.0,0,0.0,2.03,1.0,0.0
budget-backfire,Claude Sonnet 4.6,salient_restraint,50,0,0.0,50,100.0,0,0.0,0,0.0,1.99,2.0,100.0
budget-backfire,Claude Sonnet 4.6,many_steps,50,0,0.0,50,100.0,0,0.0,0,0.0,1.99,4.0,100.0
budget-backfire,Claude Sonnet 4.6,free_agent,50,0,0.0,43,86.0,7,14.0,0,0.0,2.13,4.0,100.0
budget-backfire,"Humans (Larson & Hamilton (2012), Experiment 1)",no_restraint,,,61.4,,15.9,,20.5,,2.3,1.629,,
budget-backfire,"Humans (Larson & Hamilton (2012), Experiment 1)",salient_restraint,,,41.5,,19.5,,26.8,,12.2,2.087,,
