experiment,source,condition,n,recognized_count,partial_count,unrecognized_count,excluded_none,enforce_share_pct
crime-metaphor-recognition,Claude Opus 4.8,canonical,50,3,26,21,0,0.0
crime-metaphor-recognition,Claude Opus 4.8,disguised,50,50,0,0,0,0.0
crime-metaphor-recognition,Claude Sonnet 4.6,canonical,50,0,26,24,0,0.0
crime-metaphor-recognition,Claude Sonnet 4.6,disguised,50,8,27,15,0,0.0
crime-metaphor-recognition,Claude Haiku 4.5,canonical,50,0,11,39,0,0.0
crime-metaphor-recognition,Claude Haiku 4.5,disguised,50,0,5,45,0,0.0
crime-metaphor-recognition,GPT-5.5,canonical,50,50,0,0,0,0.0
crime-metaphor-recognition,GPT-5.5,disguised,50,50,0,0,0,0.0
crime-metaphor-recognition,GPT-5.4,canonical,50,20,18,12,0,0.0
crime-metaphor-recognition,GPT-5.4,disguised,50,44,6,0,0,0.0
crime-metaphor-recognition,GPT-5.4 mini,canonical,50,12,35,3,0,0.0
crime-metaphor-recognition,GPT-5.4 mini,disguised,50,22,21,7,0,0.0
