model,condition,n,enforce,reform,mixed,none,enforce_share_pct,swing_pct_wolf_minus_cancer,pValue
Claude Opus 4.8,wolf,50,0,6,44,0,44.0,4.0,0.4132
Claude Opus 4.8,cancer,50,0,10,40,0,40.0,4.0,0.4132
Claude Sonnet 4.6,wolf,50,1,4,45,0,47.0,2.0,0.5738
Claude Sonnet 4.6,cancer,50,0,5,45,0,45.0,2.0,0.5738
Claude Haiku 4.5,wolf,50,0,10,40,0,40.0,-1.0,1.0
Claude Haiku 4.5,cancer,50,0,9,41,0,41.0,-1.0,1.0
GPT-5.5,wolf,50,0,0,50,0,50.0,0.0,
GPT-5.5,cancer,50,0,0,50,0,50.0,0.0,
GPT-5.4,wolf,50,0,1,49,0,49.0,-1.0,1.0
GPT-5.4,cancer,50,0,0,50,0,50.0,-1.0,1.0
GPT-5.4 mini,wolf,50,0,1,49,0,49.0,-1.0,1.0
GPT-5.4 mini,cancer,50,0,0,50,0,50.0,-1.0,1.0
