model,condition,n,enforce,reform,mixed,none,enforce_share_pct,swing_pct_beast_minus_virus,pValue
Claude Opus 4.8,beast,50,0,33,2,15,2.9,2.9,0.4156
Claude Opus 4.8,virus,50,0,40,0,10,0.0,2.9,0.4156
Claude Sonnet 4.6,beast,50,1,27,22,0,24.0,-18.9,0.0004
Claude Sonnet 4.6,virus,50,1,8,40,1,42.9,-18.9,0.0004
Claude Haiku 4.5,beast,50,0,6,43,1,43.9,2.9,0.6043
Claude Haiku 4.5,virus,50,0,9,41,0,41.0,2.9,0.6043
GPT-5.5,beast,50,2,0,48,0,52.0,3.0,0.222
GPT-5.5,virus,50,0,1,49,0,49.0,3.0,0.222
GPT-5.4,beast,50,1,0,49,0,51.0,1.0,0.6034
GPT-5.4,virus,50,1,1,48,0,50.0,1.0,0.6034
GPT-5.4 mini,beast,50,11,0,39,0,61.0,7.0,0.0929
GPT-5.4 mini,virus,50,4,0,46,0,54.0,7.0,0.0929
