model,condition,n,recognized,partial,unrecognized,recognized_pct,any_recognition_pct,pValue
Claude Opus 4.8,canonical,50,3,26,21,6.0,58.0,0.0
Claude Opus 4.8,disguised,50,50,0,0,100.0,100.0,0.0
Claude Sonnet 4.6,canonical,50,0,26,24,0.0,52.0,0.0064
Claude Sonnet 4.6,disguised,50,8,27,15,16.0,70.0,0.0064
Claude Haiku 4.5,canonical,50,0,11,39,0.0,22.0,0.1726
Claude Haiku 4.5,disguised,50,0,5,45,0.0,10.0,0.1726
GPT-5.5,canonical,50,50,0,0,100.0,100.0,
GPT-5.5,disguised,50,50,0,0,100.0,100.0,
GPT-5.4,canonical,50,20,18,12,40.0,76.0,0.0
GPT-5.4,disguised,50,44,6,0,88.0,100.0,0.0
GPT-5.4 mini,canonical,50,12,35,3,24.0,94.0,0.0179
GPT-5.4 mini,disguised,50,22,21,7,44.0,86.0,0.0179
