experiment,source,condition,n,enforce_count,reform_count,mixed_count,excluded_none,enforce_share_pct
crime-metaphor,Claude Opus 4.8,beast,49,0,26,23,1,23.5
crime-metaphor,Claude Opus 4.8,virus,50,0,18,32,0,32.0
crime-metaphor,Claude Sonnet 4.6,beast,50,3,1,46,0,52.0
crime-metaphor,Claude Sonnet 4.6,virus,50,12,4,34,0,58.0
crime-metaphor,Claude Haiku 4.5,beast,50,0,9,41,0,41.0
crime-metaphor,Claude Haiku 4.5,virus,50,1,13,36,0,38.0
crime-metaphor,GPT-5.5,beast,50,0,1,49,0,49.0
crime-metaphor,GPT-5.5,virus,50,0,0,50,0,50.0
crime-metaphor,GPT-5.4,beast,50,0,2,48,0,48.0
crime-metaphor,GPT-5.4,virus,50,0,3,47,0,47.0
crime-metaphor,GPT-5.4 mini,beast,50,6,2,42,0,54.0
crime-metaphor,GPT-5.4 mini,virus,50,1,6,43,0,45.0
crime-metaphor,"Humans (Thibodeau & Boroditsky (2011), Experiment 1 (N=455))",beast,,,,,,74.0
crime-metaphor,"Humans (Thibodeau & Boroditsky (2011), Experiment 1 (N=455))",virus,,,,,,56.0
