experiment,source,condition,n,option_1_count,option_1_share_pct,option_2_count,option_2_share_pct,option_3_count,option_3_share_pct,mean_price_usd,mean_steps,budget_rate_pct
decoy-effect-agentic,Claude Opus 4.8,film_no_decoy_shot,30,0,0.0,30,100.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_no_decoy_workflow,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_no_decoy_auto,30,1,3.3,29,96.7,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_no_decoy_retrieval,30,16,53.3,14,46.7,0,0.0,,4.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_R_shot,30,29,96.7,1,3.3,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_R_workflow,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_R_auto,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_R_retrieval,30,26,86.7,4,13.3,0,0.0,,5.0667,0.0
decoy-effect-agentic,Claude Opus 4.8,film_Rstar_shot,30,30,100.0,0,0.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_Rstar_workflow,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_Rstar_auto,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_Rstar_retrieval,30,30,100.0,0,0.0,0,0.0,,5.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_F_shot,30,15,50.0,15,50.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_F_workflow,30,28,93.3,2,6.7,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_F_auto,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_F_retrieval,30,0,0.0,30,100.0,0,0.0,,5.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_RF_shot,30,7,23.3,23,76.7,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_RF_workflow,30,9,30.0,21,70.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_RF_auto,30,16,53.3,14,46.7,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,film_RF_retrieval,30,6,20.0,24,80.0,0,0.0,,5.0333,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_no_decoy_shot,30,29,96.7,1,3.3,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_no_decoy_workflow,30,27,90.0,3,10.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_no_decoy_auto,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_no_decoy_retrieval,30,24,80.0,6,20.0,0,0.0,,4.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_R_shot,30,30,100.0,0,0.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_R_workflow,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_R_auto,30,30,100.0,0,0.0,0,0.0,,3.0333,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_R_retrieval,30,0,0.0,30,100.0,0,0.0,,5.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_Rstar_shot,30,28,93.3,2,6.7,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_Rstar_workflow,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_Rstar_auto,30,30,100.0,0,0.0,0,0.0,,3.2,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_Rstar_retrieval,30,0,0.0,30,100.0,0,0.0,,5.0667,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_F_shot,30,0,0.0,28,93.3,2,6.7,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_F_workflow,30,4,13.3,25,83.3,1,3.3,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_F_auto,30,5,16.7,21,70.0,4,13.3,,3.3333,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_F_retrieval,30,0,0.0,30,100.0,0,0.0,,5.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_RF_shot,30,0,0.0,30,100.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_RF_workflow,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_RF_auto,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,cars_RF_retrieval,30,0,0.0,30,100.0,0,0.0,,5.0,0.0
decoy-effect-agentic,Claude Opus 4.8,tv_no_decoy_shot,30,0,0.0,30,100.0,0,0.0,,1.0,0.0
decoy-effect-agentic,Claude Opus 4.8,tv_no_decoy_workflow,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect-agentic,Claude Opus 4.8,tv_no_decoy_auto,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
