experiment,source,condition,n,laptop_a_count,laptop_a_share_pct,laptop_b_count,laptop_b_share_pct,laptop_c_count,laptop_c_share_pct,mean_price_usd,mean_steps,budget_rate_pct
decoy-effect,Claude Opus 4.8,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Opus 4.8,decoy_b,30,19,63.3,11,36.7,0,0.0,,3.0,0.0
decoy-effect,Claude Opus 4.8,decoy_a,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Opus 4.8,free_agent,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Sonnet 4.6,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Sonnet 4.6,decoy_b,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect,Claude Sonnet 4.6,decoy_a,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Sonnet 4.6,free_agent,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect,Claude Haiku 4.5,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Haiku 4.5,decoy_b,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect,Claude Haiku 4.5,decoy_a,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,Claude Haiku 4.5,free_agent,30,0,0.0,30,100.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4 mini,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4 mini,decoy_b,30,29,96.7,1,3.3,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4 mini,decoy_a,29,29,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4 mini,free_agent,30,28,93.3,2,6.7,0,0.0,,2.8333,0.0
decoy-effect,GPT-5.4,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4,decoy_b,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4,decoy_a,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.4,free_agent,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.5,no_decoy,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.5,decoy_b,30,26,86.7,4,13.3,0,0.0,,3.0,0.0
decoy-effect,GPT-5.5,decoy_a,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,GPT-5.5,free_agent,30,30,100.0,0,0.0,0,0.0,,3.0,0.0
decoy-effect,"Humans (Representative attraction-effect result — Huber, Payne & Puto (1982); Simonson (1989). Proportions approximate.)",no_decoy,,,50.0,,50.0,,0.0,0.0,,
decoy-effect,"Humans (Representative attraction-effect result — Huber, Payne & Puto (1982); Simonson (1989). Proportions approximate.)",decoy_b,,,35.0,,63.0,,2.0,0.0,,
decoy-effect,"Humans (Representative attraction-effect result — Huber, Payne & Puto (1982); Simonson (1989). Proportions approximate.)",decoy_a,,,63.0,,35.0,,2.0,0.0,,
