experiment,source,condition,n,sel_p_q_count,sel_p_q_share_pct,sel_p_count,sel_p_share_pct,sel_p_notq_count,sel_p_notq_share_pct,sel_p_q_notq_count,sel_p_q_notq_share_pct,sel_all_count,sel_all_share_pct,sel_other_count,sel_other_share_pct,mean_price_usd,mean_steps,budget_rate_pct
wason-selection,Claude Opus 4.8,direct,30,0,0.0,0,0.0,27,90.0,0,0.0,0,0.0,3,10.0,,1.0,0.0
wason-selection,Claude Opus 4.8,falsify_prompt,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,2.0,0.0
wason-selection,Claude Opus 4.8,deliberate,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,Claude Opus 4.8,free_agent,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,Claude Haiku 4.5,direct,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,,1.0,0.0
wason-selection,Claude Haiku 4.5,falsify_prompt,12,6,50.0,0,0.0,4,33.3,1,8.3,0,0.0,1,8.3,,2.0,0.0
wason-selection,Claude Haiku 4.5,deliberate,28,1,3.6,0,0.0,27,96.4,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,Claude Haiku 4.5,free_agent,30,1,3.3,0,0.0,27,90.0,2,6.7,0,0.0,0,0.0,,4.0,0.0
wason-selection,Claude Sonnet 4.6,direct,30,1,3.3,2,6.7,18,60.0,0,0.0,1,3.3,8,26.7,,1.0,0.0
wason-selection,Claude Sonnet 4.6,falsify_prompt,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,2.0,0.0
wason-selection,Claude Sonnet 4.6,deliberate,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,Claude Sonnet 4.6,free_agent,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,GPT-5.4 mini,direct,30,0,0.0,0,0.0,25,83.3,0,0.0,0,0.0,5,16.7,,1.0,0.0
wason-selection,GPT-5.4 mini,falsify_prompt,30,0,0.0,0,0.0,24,80.0,0,0.0,0,0.0,6,20.0,,2.0,0.0
wason-selection,GPT-5.4 mini,deliberate,30,0,0.0,0,0.0,22,73.3,1,3.3,0,0.0,7,23.3,,4.0,0.0
wason-selection,GPT-5.4 mini,free_agent,30,0,0.0,0,0.0,23,76.7,4,13.3,0,0.0,3,10.0,,4.0,0.0
wason-selection,GPT-5.4,direct,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,1.0,0.0
wason-selection,GPT-5.4,falsify_prompt,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,2.0,0.0
wason-selection,GPT-5.4,deliberate,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,GPT-5.4,free_agent,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,GPT-5.5,direct,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,1.0,0.0
wason-selection,GPT-5.5,falsify_prompt,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,2.0,0.0
wason-selection,GPT-5.5,deliberate,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection,GPT-5.5,free_agent,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.4,0.0
wason-selection,Humans (Representative abstract-task distribution — Johnson-Laird & Wason (1970); Wason & Johnson-Laird (1972). Proportions approximate.),direct,,,46.0,,33.0,,4.0,,7.0,,7.0,,3.0,0.0,,
